dist,region,reg_prop,2020_pop,pop_pct,2025_dif,2025_pop,2030_dif,2030_pop,2035_dif,2035_pop,2040_dif,2040_pop,2045_dif,2045_pop,2050_dif,2050_pop,2055_dif,2055_pop,2060_dif,2060_pop,2065_dif,2065_pop,2070_dif,2070_pop,2075_dif,2075_pop,2080_dif,2080_pop,2085_pop,2085_pop,2090_dif,2090_pop,2095_dif,2095_pop,2100_dif,2100_pop,current_urban_pix,total_pix,gdd,2050_urbpix
Ablekuma Central,GREATER ACCRA,Greater Accra,294022,0.95,42658,336680,74322,368344,106498,400520,139101,433123,171383,465405,202075,496097,231138,525160,257925,551947,283103,577125,306176,600198,327658,621680,346639,640661,363378,657400,377033,671055,388553,682575,397740,691762,11992,12010,24.5,
Ablekuma North,GREATER ACCRA,Greater Accra,232877,0.75,32923,265800,58866,291743,83323,316200,110173,343050,134548,367425,160051,392928,181723,414600,204286,437163,222748,455625,242503,475380,257923,490800,274552,507429,286123,519000,298625,531502,305998,538875,315025,547902,12579,12579,18.5,
Ablekuma West,GREATER ACCRA,Greater Accra,75254,0.24,9802,85056,19023,94277,25930,101184,35602,110856,42322,117576,51720,126974,57418,132672,66015,141269,70546,145800,78365,153619,81802,157056,88721,163975,90826,166080,96501,171755,97186,172440,101800,177054,19052,19207,3.9,
Abuakwa North,EASTERN,Eastern,112856,0.36,14728,127584,28528,141384,38920,151776,53392,166248,63508,176364,77563,190419,86152,199008,99001,211857,105844,218700,117521,230377,122728,235584,133052,245908,136264,249120,144719,257575,145804,258660,152667,265523,17593,176863,6.4,
Abuakwa South,EASTERN,Eastern,98756,0.32,14652,113408,24963,123719,36156,134912,46721,145477,58012,156768,67873,166629,78140,176896,86632,185388,95644,194400,102838,201594,110652,209408,116429,215185,122684,221440,126638,225394,131164,229920,133593,232349,17384,388803,5.7,
Abura Asebu Kwamankese,CENTRAL,Central,138623,0.45,20857,159480,35041,173664,51097,189720,65582,204205,81832,220455,95272,233895,110137,248760,121604,260227,134752,273375,144353,282976,155857,294480,163430,302053,172777,311400,177761,316384,184702,323325,187523,326146,21747,418812,,
Achiase,GREATER ACCRA,Greater Accra,92276,0.3,14044,106320,23325,115601,34204,126480,43655,135931,54694,146970,63419,155695,73564,165840,80947,173223,89974,182250,96090,188366,104044,196320,108789,201065,115324,207600,118328,210604,123274,215550,124827,217103,6920,460789,13.3,
Ada East,EASTERN,Eastern,90336,0.29,12440,102776,22835,113171,31928,122264,42738,133074,51735,142071,62086,152422,69976,160312,79245,169581,85839,176175,94070,184406,99440,189776,106502,196838,110344,200680,115841,206177,118029,208365,122202,212538,14202,322883,6.4,
Ada West,GREATER ACCRA,Greater Accra,74544,0.24,10512,85056,18843,93387,26640,101184,35267,109811,43032,117576,51232,125776,58128,132672,65392,139936,71256,145800,77625,152169,82512,157056,87884,162428,91536,166080,95590,170134,97896,172440,100840,175384,11809,360615,6.3,
Adaklu,GREATER ACCRA,Greater Accra,45962,0.15,7198,53160,11618,57580,17278,63240,21744,67706,27523,73485,31589,77551,36958,82920,40319,86281,45163,91125,47862,93824,52198,98160,54187,100149,57838,103800,58938,104900,61813,107775,62175,108137,6398,892272,7.2,
Adansi Asokwa,VOLTA,Volta,83243,0.27,12445,95688,21042,104285,30589,113832,39382,122625,49030,132273,57211,140454,66013,149256,73023,156266,80782,164025,86684,169927,93445,176688,98140,181383,103597,186840,106745,189988,110752,193995,112607,195850,11109,712713,7.5,
Adansi North,ASHANTI,Ashanti,49522,0.16,7182,56704,12518,62040,17934,67456,23429,72951,28862,78384,34035,83557,38926,88448,43442,92964,47678,97200,51569,101091,55182,104704,58384,107906,61198,110720,63504,113026,65438,114960,66991,116513,10097,236071,4.9,
Adansi South,ASHANTI,Ashanti,50268,0.16,6436,56704,12707,62975,17188,67456,23782,74050,28116,78384,34548,84816,38180,88448,44097,94365,46932,97200,52346,102614,54436,104704,59264,109532,60452,110720,64460,114728,64692,114960,68000,118268,10606,832318,4.7,
Adentan,ASHANTI,Ashanti,98682,0.32,14726,113408,24945,123627,36230,134912,46686,145368,58086,156768,67822,166504,78214,176896,86567,185249,95718,194400,102761,201443,110726,209408,116342,215024,122758,221440,126543,225225,131238,229920,133493,232175,64038,86774,1.5,
Afadzato South,GREATER ACCRA,Greater Accra,120004,0.39,18212,138216,30334,150338,44420,164424,56773,176777,71057,191061,82476,202480,95588,215592,105271,225275,116921,236925,124965,244969,135212,255216,141479,261483,149876,269880,153885,273889,160211,280215,162336,282340,10884,616071,,
Afigya Kwabre North,VOLTA,Volta,51560,0.17,8688,60248,13033,64593,20112,71672,24393,75953,31723,83283,35436,86996,42416,93976,45230,96790,51715,103275,53691,105251,59688,111248,60787,112347,66080,117640,66117,117677,70585,122145,69748,121308,8890,265882,,
Afigya Kwabre South,ASHANTI,Ashanti,117179,0.38,17493,134672,29620,146799,43029,160208,55437,172616,68983,186162,80534,197713,92885,210064,102793,219972,113671,230850,122023,239202,131493,248672,138149,255328,145781,262960,150262,267441,155851,273030,158514,275693,38200,189025,3.1,
Agona East,ASHANTI,Ashanti,101674,0.33,15278,116952,25701,127375,37454,139128,48102,149776,59993,161667,69878,171552,80750,182424,89191,190865,98801,200475,105877,207551,114278,215952,119869,221543,126686,228360,130380,232054,135431,237105,137540,239214,13290,364153,7.7,
Agona West,CENTRAL,Central,136443,0.44,19493,155936,34490,170933,49061,185504,64551,200994,79113,215556,93774,230217,106789,243232,119692,256135,130857,267300,142083,278526,151493,287936,160860,297303,168037,304480,174965,311408,179697,316140,184574,321017,15522,396178,8.8,
Agortime-Ziope,CENTRAL,Central,35360,0.11,3624,38984,8938,44298,11016,46376,16729,52089,18529,53889,24302,59662,25448,60808,31019,66379,31465,66825,36822,72182,36624,71984,41688,77048,40760,76120,45343,80703,43675,79035,47833,83193,7020,351725,,
Ahafo Ano North,VOLTA,Volta,116936,0.38,17736,134672,29559,146495,43272,160208,55322,172258,69226,186162,80367,197303,93128,210064,102580,219516,113914,230850,121770,238706,131736,248672,137862,254798,146024,262960,149951,266887,156094,273030,158186,275122,11488,659202,10.2,
Ahafo Ano South East,ASHANTI,Ashanti,73121,0.24,11935,85056,18483,91604,28063,101184,34593,107714,44455,117576,50254,123375,59551,132672,64144,137265,72679,145800,76144,149265,83935,157056,86206,159327,92959,166080,93765,166886,99319,172440,98915,172036,7144,464471,10.2,
Ahafo Ano South West,ASHANTI,Ashanti,77760,0.25,10840,88600,19656,97416,27640,105400,36788,114548,44715,122475,53443,131203,60440,138200,68213,145973,74115,151875,80974,158734,85840,163600,91676,169436,95240,173000,99714,177474,101865,179625,105190,182950,10151,858151,,
Ahanta West,ASHANTI,Ashanti,141344,0.46,21680,163024,35729,177073,52592,193936,66869,208213,84010,225354,97142,238486,112944,254288,123991,265335,138106,279450,147187,288531,159680,301024,166638,307982,176976,318320,181250,322594,189166,330510,191204,332548,23207,608603,6.1,
Ajumako Enyan Essiam,WESTERN,Western,163250,0.53,24582,187832,41266,204516,60198,223448,77233,240483,96397,259647,112198,275448,129734,292984,143208,306458,158725,321975,169998,333248,183582,346832,192464,355714,203510,366760,209340,372590,217555,380805,220837,384087,17876,579619,9.1,
Akatsi North,CENTRAL,Central,37517,0.12,5011,42528,9483,47000,13075,50592,17749,55266,21271,58788,25785,63302,28819,66336,32911,70428,35383,72900,39068,76585,41011,78528,44231,81748,45523,83040,48109,85626,48703,86220,50751,88268,4318,350163,,
Akatsi South,VOLTA,Volta,124357,0.4,17403,141760,31435,155792,44283,168640,58833,183190,71603,195960,85468,209825,96763,221120,109090,233447,118643,243000,129498,253855,137403,261760,146611,270968,152443,276800,159467,283824,163043,287400,168225,292582,21075,597388,,
Akrofuom,VOLTA,Volta,92804,0.3,13516,106320,23459,116263,33676,126480,43905,136709,54166,146970,63782,156586,73036,165840,81410,174214,89446,182250,96640,189444,103516,196320,109412,202216,114796,207600,119005,211809,122746,215550,125541,218345,6257,643865,14.8,
Akwapim North,ASHANTI,Ashanti,95484,0.31,14380,109864,24136,119620,35212,130696,45173,140657,56385,151869,65624,161108,75884,171368,83761,179245,92841,188325,99431,194915,107380,202864,112571,208055,119036,214520,122442,217926,127251,222735,129166,224650,13929,341196,,
Akwapim South,EASTERN,Eastern,47265,0.15,5895,53160,11948,59213,15975,63240,22361,69626,26220,73485,32484,79749,35655,82920,41462,88727,43860,91125,49219,96484,50895,98160,55723,102988,56535,103800,60609,107874,60510,107775,63938,111203,6660,249469,,
Akyemansa,EASTERN,Eastern,122734,0.4,19026,141760,31024,153758,45906,168640,58065,180799,73226,195960,84352,207086,98386,221120,107666,230400,120266,243000,127807,250541,139026,261760,144698,267432,154066,276800,157386,280120,164666,287400,166029,288763,14578,680295,8.4,
Amansie Central,EASTERN,Eastern,112508,0.36,15076,127584,28440,140948,39268,151776,53227,165735,63856,176364,77324,189832,86500,199008,98695,211203,106192,218700,117159,229667,123076,235584,132642,245150,136612,249120,144272,256780,146152,258660,152196,264704,13968,943941,8.1,
Amansie South,ASHANTI,Ashanti,74666,0.24,10390,85056,18874,93540,26518,101184,35324,109990,42910,117576,51316,125982,58006,132672,65499,140165,71134,145800,77752,152418,82390,157056,88028,162694,91414,166080,95746,170412,97774,172440,101005,175671,19204,828330,3.9,
Amansie West,ASHANTI,Ashanti,91905,0.3,14415,106320,23232,115137,34575,126480,43480,135385,55065,146970,63164,155069,73935,165840,80622,172527,90345,182250,95704,187609,104415,196320,108352,200257,115695,207600,117853,209758,123645,215550,124325,216230,18352,539064,5,
Anloga,ASHANTI,Ashanti,104262,0.34,16234,120496,26355,130617,39082,143344,49326,153588,62304,166566,71657,175919,83690,187952,91462,195724,102288,206550,108572,212834,118234,222496,122920,227182,131018,235280,133698,237960,140028,244290,141041,245303,22686,439519,4.6,
Aowin,WESTERN,Western,157159,0.51,23585,180744,39726,196885,57857,215016,74351,231510,92690,249849,108012,265171,124769,281928,137864,295023,152666,309825,163655,320814,176585,333744,185283,342442,195761,352920,201530,358689,209276,366435,212598,369757,16303,2896692,9.6,
